id,country,total,substances,clothing,house_utilities,house_maintenance,health,transport,communications,recreation_culture,education,restaurants_hotels,food,beverages,miscellaneous,year
belgium2020,Belgium,217824.9,9490.7,8729.3,55496.5,14208.3,14699.3,22035.2,5458.9,16126.8,784.4,10060.6,28530.7,2374.2,29830,2020
bulgaria2020,Bulgaria,36235.8,2057.5,1164.5,7243.8,1998.9,2615.6,4233,2034,2704.4,453.3,1767.5,6900.1,618.2,2445.1,2020
czechia2020,Czechia,97229.6,8184.1,3418.1,27562.5,5431.8,2377,8819.3,3118.4,7793.6,488,5775.5,14903,1686.8,7671.4,2020
denmark2020,Denmark,140103.2,5096.4,5715,40827.8,8404.1,4253.5,15815.6,2897.4,15349.2,1209.3,6862.2,15029.9,2118.3,16524.5,2020
germany2020,Germany,1639588,59152,64661,420033,116994,91230,212906,37885,155937,13649,63402,170672,23778,209289,2020
estonia2020,Estonia,13210.4,1063.1,801,2492.7,664.4,487.7,1303,362.1,1134.9,68.3,764.4,2591.9,211,1265.8,2020
ireland2020,Ireland,92116.2,5743.8,3641.2,26975.3,3805.2,4564.3,9707.6,2579.6,5188.2,1892.8,9864.5,7977,894,9282.9,2020
greece2020,Greece,116568.9,5952.7,4260.2,26662.9,3479.9,5486.5,11629.1,5888.9,5649.7,2678.6,11812.7,21868.6,1378.5,9820.6,2020
spain2020,Spain,622528,29551,20522,159444,29065,29565,64440,17678,35050,11055,58979,90179,8367,68633,2020
france2020,France,1191918,51953,37429,336356,57467,47498,139431,30368,89407,5818,67186,162453,14762,151791,2020
croatia2020,Croatia,33045,2422.4,1285.5,6428.5,1678.3,1753.7,2446.3,1635.3,2729.9,347.1,2689.4,5991.7,877.2,2759.5,2020
italy2020,Italy,965722.1,44463,51759.5,242005.6,61103.2,36091.9,107665.3,22101.7,58898.4,9089.8,66533,146150.8,12773,107086.7,2020
cyprus2020,Cyprus,13228.9,705.3,687.7,2447.8,813.2,502.5,1591.3,405.3,950.4,508.4,1321.3,1715.9,183.5,1396.3,2020
latvia2020,Latvia,17046,1436.7,912.8,3809.1,715.5,920.1,1732.2,452.5,1449.3,304.2,811.4,3070,327.3,1104.8,2020
lithuania2020,Lithuania,28641.4,1773.3,1322.1,4494.8,2098,1450.2,4033.3,839.9,2155.6,173.4,995.2,5849.8,457.2,2998.6,2020
luxembourg2020,Luxembourg,20262.6,1872.6,926.9,4921.6,1391.1,574.8,2665.7,310.4,1210.6,197.5,1173.6,1812.9,261.6,2943.5,2020
hungary2020,Hungary,67104,5225.8,2147.9,14914.2,3683.5,2900.9,7543.2,2000.8,4794.5,1186.4,4197,10835.6,1796.3,5877.8,2020
malta2020,Malta,5835.3,251.7,335.1,1001.4,340.6,320.6,643.3,190.2,432.9,122.3,599.8,787.4,102.7,707.3,2020
netherlands2020,Netherlands,332800,11398,15259,86912,22578,10881,37245,8411,29175,2305,20479,40580,3486,44091,2020
austria2020,Austria,187510.1,7135.4,9330.9,47653.4,13385.3,7409.8,19931.9,3929.4,16760.2,1756.8,19399.2,19170.4,2229.1,19418.3,2020
poland2020,Poland,293366.1,19974,13961.2,56184,15551.1,19954.8,38386.3,7564.5,17122.7,2299,9024.8,49226.1,7829.1,36288.5,2020
portugal2020,Portugal,129684.3,4573.6,7264.2,26299.9,7190.2,7040.4,14716.6,3363.6,6629.4,2044.8,12368,22773.6,1444.8,13975.2,2020
romania2020,Romania,131512.6,8587.8,8265.7,24187,9824.4,9083.2,14563.8,4411.2,7908.1,1626.8,4702.7,31131.9,1686.4,5533.7,2020
slovenia2020,Slovenia,23764.9,1192,1217.5,4945.7,1321,1047.8,3377,742.2,1859.1,280.4,1356.2,3417.6,361,2647.4,2020
slovakia2020,Slovakia,52604.4,2780.3,2132,16323.3,3229.1,1280.6,2583.6,1629.5,4232.5,703.9,2865.4,9366.9,816.6,4660.6,2020
finland2020,Finland,116586,6219,3954,35592,5921,5775,12083,2934,10855,447,6176,13266,1329,12035,2020
sweden2020,Sweden,204821.4,7403.4,7625.3,54230.3,13439.8,6288.8,23174.4,6208.1,23217.9,658.8,11942,24383.4,2901.6,23347.4,2020
iceland2020,Iceland,9436.5,445.9,339.3,2515.2,585.5,271.9,1135.7,287.4,914.9,106.6,811.8,1096.4,186.2,739.7,2020
norway2020,Norway,130830.8,6179.4,6127.9,30114.2,9233.5,4265.1,17721.7,3179,14724.5,589.2,7160,15320.5,2215,14000.6,2020
switzerland2020,Switzerland,323307.4,12477.4,7385.5,86331.2,11427.7,56043.4,27892.7,8636.8,19559.9,3522.3,21152.4,:,:,36970.6,2020
bosnia and herzegovina2020,Bosnia and Herzegovina,12839,1133.7,561.5,1894.5,772.1,574,828.8,337.6,549.3,190,790.6,3723.3,429,1054.7,2020
montenegro2020,Montenegro,3518.1,204.4,189.5,549.8,388.6,80.8,310.9,140.7,147.4,40.2,144.5,:,:,207.2,2020
north macedonia2020,North Macedonia,7190.4,409.2,308.6,1624,205.8,157.7,555.2,198.6,293.2,81.5,388.3,2078.5,264.7,625,2020
albania2020,Albania,10609.6,326.2,404,1411.1,643.4,593.2,610.1,198.8,651.3,276.3,414.3,:,:,455.8,2020
serbia2020,Serbia,30780.1,2667.3,1298.8,6294.4,1397.3,1468.4,3293.8,1738.3,1649.3,353.8,706.7,6680.8,873.3,2357.8,2020
turkey2020,Turkey,365247.8,12994,23333.3,54801.8,30857.8,8237.1,55424.6,11478.5,22204.8,5546.4,23608.6,:,:,28787.2,2020
belgium2021,Belgium,236501.7,10163.7,10199.6,59726,15708.1,16204.2,23214.5,5533.8,17981.6,875.5,12616.9,29009.6,2344.2,32924,2021
bulgaria2021,Bulgaria,42021.2,2204.5,1495.5,8037.9,2465.6,3015.9,5170.7,2178.7,3397.9,630,2194.5,7657.6,672.3,2900.1,2021
czechia2021,Czechia,106844.1,8905.1,3891.7,29906.2,6145.5,2936.7,10173.6,3357.1,8700.8,553.4,6108.7,15993.9,1714.6,8456.9,2021
denmark2021,Denmark,150699.6,6058,6386.4,43003.7,9026,4473.6,16486.4,2901.4,16551.9,1276.1,8092,15916.6,2282.5,18245,2021
germany2021,Germany,1709722,60732,65655,435553,120215,96115,224030,39924,162014,14506,65797,174923,25651,224607,2021
estonia2021,Estonia,14991.4,1143.7,917.6,3133.1,763.7,559.7,1523.8,388.6,1322.7,82.4,849.1,2708.5,226.2,1372.5,2021
ireland2021,Ireland,104428.4,5858.9,4905.2,29434.9,4773.4,5268.4,9815.8,2776.9,5642.1,1971.6,14210.3,7987.6,1082.9,10700.3,2021
greece2021,Greece,130332.4,6409.7,4900.7,27213.4,3987.3,6210.2,14903.6,5741.4,6734,2576,17357.7,22278.9,1476.4,10543.2,2021
spain2021,Spain,689631,30146,24388,167800,33649,30287,78436,18283,45402,9880,82781,88719,8926,70934,2021
france2021,France,1272360,52711,41597,351416,62721,53064,160792,31538,97351,6669,78477,161644,14794,159588,2021
croatia2021,Croatia,41428.6,3254.7,1826.1,6817.4,2050.9,2060.8,3214.7,1792.1,3705.5,358.4,5244.5,6595.9,1280.9,3226.8,2021
italy2021,Italy,1033662.4,45626.3,55279.6,251563.1,67928.9,40887.5,121070.2,22313.8,65805.7,9421.9,82185.7,147037.2,12878.7,111663.8,2021
cyprus2021,Cyprus,15093.5,753.6,860.7,2635.6,867,402.3,1713,449.6,1065.4,530.6,2256,1854.4,205.9,1499.2,2021
latvia2021,Latvia,18689.5,1410,991,4234.7,834.5,945.4,2067.5,480.8,1621,273,852.2,3356.1,374.2,1249.2,2021
lithuania2021,Lithuania,32395.3,1882.2,1496.9,5075.9,2314.9,1843.6,4939.1,811.3,2450.8,201.3,1266.7,6174.1,496.1,3442.4,2021
luxembourg2021,Luxembourg,22929,2061.7,1061.4,5133.5,1569.1,953.9,3275,316.5,1472.1,223.2,1216.6,1927.6,267.9,3450.5,2021
hungary2021,Hungary,73407.9,5558.7,2427.8,16395.8,3906.3,2953.6,8526.7,1991.3,5471.7,1245.6,5253.2,11422.1,1806.4,6448.6,2021
malta2021,Malta,6587.3,269.1,357.7,1029.7,370,358,724,200.5,498.9,151.2,899,824.8,109.2,795.3,2021
netherlands2021,Netherlands,355383,12127,17735,90739,24335,12213,40991,8723,31253,2256,23253,41411,3665,46682,2021
austria2021,Austria,194235.9,7583.8,9762.8,49928.6,14197.5,7923.5,22327.9,3970.5,17520.8,1851.4,18114.6,18769.5,2277.6,20007.4,2021
poland2021,Poland,319482.7,20866,15268.2,61701.2,16151.4,22446.1,43527.4,7639.9,19375,2512.8,11509.7,52539.3,7979.5,37966.1,2021
portugal2021,Portugal,139821.1,4678.4,7722.5,26897.8,7180,8400.2,16682.7,3409.9,7137.8,2146,15685.8,23762.5,1480.7,14636.8,2021
romania2021,Romania,147003.8,9546.8,9188.7,26399.4,11222.3,10097.6,16636.1,5038.8,9033.3,1808.5,5227.9,34608.5,1874.7,6321,2021
slovenia2021,Slovenia,27174.3,1268.9,1520.2,5229.9,1515.7,1171.5,4659.1,807.3,2182.4,332.6,1710.5,3514.9,393.6,2867.8,2021
slovakia2021,Slovakia,55564.2,2943.9,2304,17467.7,3485.8,1556.8,2922.9,1721.1,4452.5,729.9,2664.9,9720.3,849.4,4745.2,2021
finland2021,Finland,123226,6144,4454,37057,6337,6311,13265,2980,11375,436,6512,13529,1433,13393,2021
sweden2021,Sweden,228596.7,7811.7,9287.3,58901.5,15826.9,6983.7,27397.1,7377.4,26162.3,700.2,13219.3,26097.2,3288.8,25543.1,2021
iceland2021,Iceland,11074.8,465.7,419.4,2786.3,634.3,308.1,1421,354.7,1165.9,113.4,1152.4,1220.3,208.3,825,2021
norway2021,Norway,149634.4,6833.4,6890.4,35376.3,10485.6,4943.5,21889.2,3178.7,16543.9,677.8,8631.5,16290.6,2504.2,15389.3,2021
switzerland2021,Switzerland,327592,12853.9,7433.3,88098.6,11872.7,58408.7,29116.2,8347.7,19255.8,3577.2,19832.7,:,:,36525.2,2021
bosnia and herzegovina2021,Bosnia and Herzegovina,14150.9,1168.9,683.5,1947.7,937.5,679.1,1005.6,351.4,640,200.5,991.6,3973.9,461.3,1109.9,2021
montenegro2021,Montenegro,4338.9,268.6,215.8,563.2,421.7,102.6,409.5,146.5,187.6,37.5,562.5,:,:,250.2,2021
north macedonia2021,North Macedonia,8079.8,419.5,327.7,1849.8,223.1,191.3,688.9,219.9,366.9,88.8,545,2194.8,271.8,692.2,2021
albania2021,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2021
serbia2021,Serbia,34851.4,2947,1533.6,6793.7,1637.4,1748,4143.8,1923.7,2106.4,357.7,1092,7167.1,915.6,2485.4,2021
turkey2021,Turkey,403225.2,12025.4,28046.1,52821.7,34870.5,9223.2,64811.7,11114.8,28144.3,5910,31002.6,:,:,31455.6,2021
